station_id,station_elevation,lat,lng
209,1048,46.299,-119.916446
91,783,46.371877,-120.390987
92,1300,45.74124,-121.56081
93,1081,46.006681,-119.916806
94,690,46.1992,-119.93
95,34,47.19296,-122.32723
96,614,45.885229,-119.888438
97,1895,46.69688,-120.61554
98,1658,46.55149,-120.70668
99,679,46.28316,-120.00938
100,1212,46.30869639,-120.0658842
101,1369,46.70438,-120.65873
102,840,46.44113,-120.52776
103,943,46.517218,-120.479057
104,1296,46.4225406,-120.1314225
105,1081,46.3856,-119.99686
106,1630,46.66392,-120.70406
107,884,46.43696,-120.29495
108,1109,46.35684,-119.90955
109,1247,46.69065,-120.47248
110,1122,46.54142,-120.34556
111,1529,46.971727,-119.834552
112,0,48.35654,-122.42188
113,1081,46.71866,-119.2382
114,1256,47.01547,-119.86922
115,148,48.883727778,-122.321411111
116,67,48.86607,-122.47618
117,47,47.748366,-122.154161
118,1450,47.14486,-119.06672
119,1220,47.06798,-119.49226
120,2468,47.656594,-118.132094
121,608,46.709288,-119.917337
122,1399,47.08975,-119.99194
123,1255,47.83672,-120.08779
124,1770,47.075567,-120.693398
125,2000,47.88509,-120.07179
126,100,48.08669,-123.05898
127,1224,47.17983,-119.640287
128,1120,46.91521,-119.5108
129,1240,46.93375,-119.11924
130,1492,46.9661,-120.5018
131,1185,46.76632,-119.81999
208,1350,46.95543,-119.60065
132,3102,47.72139,-120.07187
133,2770,47.91704,-119.78143
134,82,48.96683,-122.30761
135,68,48.93561,-122.51411
136,1486,47.225451,-119.956826
137,787,48.06485,-119.85792
138,890,47.56665,-120.24554
139,30,47.657029,-122.289082
140,1350,46.947537,-119.320869
141,1625,48.03063,-119.64316
142,23,48.43849,-122.38566
143,1263,48.43542,-119.52767
144,1700,48.06577,-119.7977
145,875,47.308637,-120.068466
146,851,46.701059,-119.799642
147,2470,47.415259,-117.255704
148,1115,47.00448,-119.23822
149,815,47.4393578,-120.3490887
150,1180,48.7775,-119.42792
151,879,48.79293,-119.39682
152,1133,48.97958,-119.4134
153,2650,47.866805,-118.894399
154,200,46.95045,-122.83528
155,191,46.94981,-122.96394
156,1169,48.68062,-119.46087
157,1376,48.8077299,-119.5117883
158,28,48.49735,-122.37847
159,0,47.90265,-122.11472
160,4,48.23122,-122.37252
161,79,48.19945,-122.6876
162,2321,47.36678,-120.30524
163,1260,47.39962,-120.19573
164,1023,47.3624333,-120.2372978
165,874,47.51032,-120.43145
207,33,48.20155,-122.22618
166,1228,48.13267,-119.74742
167,1329,48.30471,-119.68375
168,1329,47.75013,-120.15542
169,1143,48.05875,-119.54974
170,11,46.368783,-124.03275
171,10,46.7062,-123.96734
172,121,47.65638,-122.64792
173,174,46.6867496,-122.9742418
174,210,44.56636,-123.23871
175,151,45.11996,-122.8373
176,152,45.13844,-122.94846
177,198,45.03886,-122.77687
